feature,importance
card1,3672
TransactionDT,3641
addr1,2939
card2,2903
TransactionAmt,2837
P_emaildomain,1837
dist1,1583
id_31,1560
D15,1297
card5,1201
DeviceInfo,1178
C13,1132
D10,1049
D4,1024
D2,1016
D1,742
id_30,715
id_02,705
id_33,678
D11,676
C1,658
id_20,586
D3,554
D5,544
C14,526
D8,526
C2,509
id_19,485
dist2,471
R_emaildomain,463
M4,453
C6,437
M5,408
C11,399
M6,393
V313,374
C9,346
id_06,307
V310,306
C5,298
id_05,294
card3,284
V315,261
V307,249
V314,229
V83,223
D9,220
card4,215
D14,213
V82,211
id_13,201
id_01,198
M3,195
V87,188
V62,187
M8,185
V312,179
M9,178
D6,173
V317,170
V127,168
V130,166
V45,163
V53,160
V54,158
V76,151
V308,143
V36,142
card6,142
V75,142
V38,142
M7,139
V35,138
V78,136
V12,134
D12,132
V285,130
V311,129
V61,129
V20,127
C12,126
id_18,124
V13,121
V5,118
ProductCD,117
V86,116
V281,112
id_14,112
M2,111
V320,111
V4,107
C8,107
V283,106
id_17,105
V67,105
D13,104
V282,104
V19,100
V136,99
V77,96
V294,95
V291,95
V258,94
V48,91
V37,91
V131,91
C10,90
V24,89
V306,84
V309,81
V56,80
V55,78
V128,76
V133,76
V10,75
V165,72
V126,72
V90,71
V66,71
V49,69
V129,68
id_09,68
V44,66
C4,64
V316,64
V289,63
V11,61
V96,61
V91,60
V29,60
V70,59
V23,57
V52,57
V69,56
V124,56
id_11,56
D7,53
V99,52
V319,51
V25,51
V264,51
V139,51
V296,50
V221,49
V261,49
V7,48
V3,48
V156,48
id_03,47
V266,46
V26,45
V6,45
V2,45
id_38,44
V135,44
V137,43
V160,41
V318,41
V277,41
V292,41
V267,41
V224,40
V47,40
V271,40
V143,39
V30,39
V234,37
V51,36
V46,35
addr2,35
V270,35
V149,35
V187,34
V274,34
V102,34
V321,34
V293,34
V280,34
V152,33
V81,32
id_15,32
V132,31
V209,31
C3,31
V222,30
V74,30
V73,30
V205,30
V300,30
V207,29
V39,29
V40,29
V189,28
V169,28
V268,27
V208,27
V79,27
V94,27
V34,27
V43,27
C7,27
V203,26
V134,26
V262,26
V123,25
id_34,25
V229,25
V150,25
V290,24
V263,24
V215,24
V276,24
id_07,24
V206,24
V265,23
V33,23
id_37,23
V332,22
V323,22
V105,21
V301,21
V170,21
id_04,21
V279,20
V260,20
id_08,20
V295,20
V166,20
V335,20
V159,20
V164,19
V288,19
V9,19
V217,18
V97,18
V230,18
V243,18
V58,17
V278,17
id_10,17
V63,17
V64,17
V85,16
V223,16
V233,16
V324,16
V163,16
V256,15
id_21,15
V220,15
V218,15
V8,15
V80,15
V216,15
V272,15
V212,15
V171,15
V140,15
V214,14
V286,14
V145,14
V244,14
V210,14
V115,14
V338,14
V333,14
V331,13
V287,13
V253,13
V259,13
V298,13
V42,13
V50,13
V248,13
V232,12
V15,12
V303,12
V257,12
V59,12
V202,12
V161,12
DeviceType,11
id_25,11
V178,11
V200,11
V60,11
V275,10
V151,10
V201,10
V95,10
V100,10
id_32,10
V245,9
V158,9
V18,9
V225,9
id_16,9
V213,9
V101,8
V336,8
V103,8
V108,8
V125,8
V182,8
V180,8
V177,8
V93,8
V246,8
V304,8
V72,8
V219,8
id_26,8
V211,7
V22,7
V181,7
V71,7
V231,7
V146,7
V154,7
V226,7
V162,7
V326,6
V17,6
V21,6
V242,6
V322,6
id_28,6
V57,6
V329,6
V192,6
V339,6
V238,6
V104,6
V172,6
V204,6
V337,5
V144,5
V98,5
V147,5
V92,5
id_36,5
V168,5
id_24,5
V183,5
V228,5
V190,5
V188,5
V251,5
V185,5
V184,4
V84,4
V273,4
V195,4
V109,4
V32,4
id_12,4
id_29,4
V121,4
V255,4
V174,4
V176,4
V116,3
V16,3
V157,3
V114,3
V31,3
V284,3
V175,3
id_23,3
V299,3
V254,3
V198,3
V199,3
V302,3
V186,3
V269,3
V250,3
V239,3
V111,2
V236,2
V196,2
V193,2
V227,2
V142,2
V112,2
V155,2
V247,2
V118,2
V153,2
V235,2
V330,2
V252,2
V327,2
V297,2
V179,2
V65,1
M1,1
V237,1
V1,1
V249,1
V106,1
V328,1
V167,1
V197,1
V194,1
V334,1
V148,1
V191,1
V122,1
V89,0
V120,0
id_35,0
V325,0
V138,0
V119,0
V141,0
V14,0
id_27,0
V27,0
V241,0
V88,0
V28,0
V117,0
V113,0
V41,0
V240,0
V110,0
V107,0
V68,0
V173,0
id_22,0
V305,0
