iter	PRAUC	Logloss
0	0.8503255146	0.6690970431
1	0.8645798015	0.6468617062
2	0.8726182886	0.6251399488
3	0.8741277475	0.6071731048
4	0.8768946241	0.5907686081
5	0.8788667447	0.5763835937
6	0.8800690148	0.5642690499
7	0.8825396826	0.5528123709
8	0.8833748746	0.5420671175
9	0.8857328487	0.5336723452
10	0.8871348528	0.5264978351
11	0.8878698434	0.5189174977
12	0.8882526556	0.5125413185
13	0.889503923	0.5069647836
14	0.8907262808	0.5019046954
15	0.8910190774	0.4960214535
16	0.8918098191	0.4907885542
17	0.8922552395	0.4860764602
18	0.892679147	0.4820077011
19	0.8931243209	0.4783422771
20	0.8939449252	0.4747588717
21	0.8942625639	0.4708325412
22	0.8947567537	0.4676405324
23	0.8959810477	0.4642078247
24	0.8967329708	0.4617816618
25	0.8973930372	0.4590905056
26	0.8980052024	0.4566961428
27	0.8987355437	0.4542233365
28	0.8992954238	0.4520900154
29	0.9000592915	0.4499769042
30	0.9006585618	0.4480732025
31	0.9015286598	0.4454025901
32	0.9018085321	0.4435377775
33	0.9028216281	0.4409747829
34	0.903649025	0.4384653578
35	0.9039206899	0.436927551
36	0.904654593	0.4352877885
37	0.905444266	0.4334002039
38	0.9060867038	0.4318337062
39	0.9063916083	0.430488389
40	0.9068381417	0.4292385024
41	0.9071984312	0.4279240595
42	0.9078197728	0.4264868649
43	0.9081829083	0.4250366406
44	0.9086615258	0.4240332339
45	0.9093904657	0.4223245105
46	0.9099952406	0.421006067
47	0.9106776341	0.4193345984
48	0.9111813291	0.418245453
49	0.9116575285	0.4168353996
50	0.9120062971	0.415953939
51	0.9123699834	0.4148918664
52	0.9125279672	0.4142039148
53	0.9128602029	0.4132531766
54	0.9136710414	0.411710465
55	0.9140543056	0.4107912475
56	0.9145655669	0.4095187927
57	0.9149158637	0.408739246
58	0.9151658495	0.4080132618
59	0.9158232571	0.4065834261
60	0.9165005297	0.4049503803
61	0.917012169	0.4038677794
62	0.9173974593	0.4029479115
63	0.9175328694	0.4023465975
64	0.9179149116	0.4013928721
