iter	Passed	Remaining
0	1384	2766697
1	2419	2416951
2	3542	2358035
3	4563	2277115
4	5656	2256755
5	6694	2224938
6	7686	2188574
7	8691	2164231
8	9754	2157908
9	10722	2133784
10	11715	2118404
11	12710	2105676
12	13703	2094550
13	14657	2079314
14	15642	2070008
15	16732	2074824
16	17791	2075297
17	18858	2076521
18	19834	2068034
19	20709	2050275
20	21664	2041599
21	22620	2033783
22	23656	2033398
23	24682	2032192
24	25599	2022359
25	26631	2021963
26	27635	2019429
27	28682	2020067
28	29696	2018326
29	30708	2016500
30	31738	2015877
31	32728	2012823
32	33662	2006501
33	34662	2004303
34	35637	2000764
35	36696	2001986
36	37617	1995739
37	38580	1991975
38	39464	1984332
39	40532	1986078
40	41533	1984478
41	42507	1981682
42	43486	1979146
43	44563	1981069
44	45539	1978418
45	46434	1972468
46	47324	1966495
47	48328	1965360
48	49282	1962263
49	50211	1958264
50	51189	1956250
51	52206	1955720
52	53186	1953843
53	54161	1951824
54	55103	1948663
55	56144	1949015
56	57061	1945109
57	58045	1943534
58	59044	1942465
59	60112	1943650
60	61203	1945462
61	62125	1941918
62	63077	1939381
63	63998	1935945
64	65007	1935210
65	66030	1934902
66	66910	1930420
67	67915	1929595
68	68990	1930746
69	70033	1930936
70	71109	1931962
71	72682	1946282
72	74148	1957305
73	75526	1965725
74	76922	1974338
75	78387	1984433
76	79741	1991459
77	81102	1998450
78	82437	2004598
79	83768	2010446
80	85099	2016113
81	86342	2019564
82	87865	2029371
83	89283	2036508
84	90590	2040947
85	91947	2046377
86	93232	2050049
87	94517	2053602
88	95986	2061013
89	97448	2068084
90	98717	2070895
91	100180	2077660
92	101530	2081924
93	102888	2086223
94	104394	2093391
95	105727	2096935
96	107094	2101046
97	108467	2105155
98	109764	2107705
99	110983	2108691
100	112409	2113528
101	113781	2117224
102	115045	2118845
103	116452	2123023
104	117778	2125614
105	118944	2125294
106	120223	2126953
107	121556	2129484
108	122906	2132264
109	124180	2133655
110	125355	2133308
111	126542	2133141
112	127967	2136949
113	129286	2138892
114	130649	2141509
115	132049	2144659
116	133949	2155780
117	135898	2167472
118	137797	2178132
119	139633	2187588
120	141594	2198812
121	143472	2208537
122	145353	2218121
123	147427	2230432
124	149263	2238956
125	151154	2248129
126	153159	2258806
127	154868	2264949
128	156764	2273690
129	158588	2281228
130	160443	2289081
131	162239	2295927
132	164088	2303403
133	165865	2309745
134	167708	2316863
135	169596	2324473
136	171392	2330686
137	172537	2328005
138	174352	2334316
139	176404	2343662
140	178312	2350941
141	180145	2357112
142	181803	2360900
143	183555	2365830
144	185492	2373022
145	187350	2379099
146	189041	2382949
147	190878	2388566
148	192673	2393547
149	194480	2398597
150	196241	2402983
151	197992	2407166
152	199980	2414146
153	201865	2419768
154	203629	2423847
155	205516	2429309
156	207248	2432855
157	209140	2438206
158	210918	2442145
159	212811	2447337
160	214622	2451496
161	216503	2456378
162	218147	2458508
163	219949	2462362
164	221581	2464253
165	223840	2473032
166	225437	2474411
167	227279	2478426
168	228944	2480461
169	230843	2484957
170	232534	2487172
171	234303	2490159
172	236220	2494657
173	238130	2499006
174	239783	2500596
175	241573	2503577
176	243339	2506256
177	245047	2508291
178	246772	2510460
179	248638	2514007
180	250394	2516392
181	252110	2518334
182	253795	2519928
183	255574	2522407
184	257428	2525584
185	259405	2529898
186	260399	2524619
187	262221	2527365
188	263916	2528847
189	265580	2530003
190	267384	2532457
191	269312	2536026
192	271176	2538939
193	273138	2542723
194	274808	2543736
195	276589	2545752
196	277931	2543712
197	279807	2546527
198	281638	2548894
199	283847	2554625
200	285689	2556990
201	287697	2560792
202	289584	2563462
203	291407	2565526
204	293453	2569511
205	295327	2571925
206	297272	2574924
207	299165	2577423
208	300973	2579159
209	302913	2581973
210	304661	2583129
211	306589	2585767
212	308518	2588372
213	310436	2590839
214	312235	2592283
215	314109	2594315
216	316003	2596473
217	317797	2597778
218	319723	2600128
219	321630	2602283
220	323368	2603042
221	325186	2604417
222	326220	2599524
223	327995	2600535
224	329997	2603310
225	331921	2605440
226	333701	2606400
227	335583	2608133
228	337289	2608471
229	338848	2607657
230	339910	2603040
231	340949	2598269
232	341959	2593314
233	342228	2582803
234	343165	2577392
235	344079	2571846
236	345114	2567241
237	346017	2561693
238	347026	2556959
239	348007	2552051
240	348941	2546840
241	349879	2541685
242	350764	2536185
243	351824	2531982
244	352903	2527943
245	353937	2523606
246	354924	2518958
247	355881	2514132
248	356864	2509520
249	357859	2505019
250	358869	2500649
251	359816	2495873
252	360854	2491752
253	361806	2487062
254	363083	2484627
255	364410	2482547
256	365886	2481476
257	367423	2480818
258	368800	2479077
259	370135	2477063
260	371470	2475047
261	372724	2472500
262	373945	2469747
263	375355	2468249
264	376700	2466321
265	377945	2463753
266	379323	2462052
267	380640	2459961
268	381950	2457829
269	383288	2455886
270	384646	2454074
271	385915	2451696
272	387226	2449594
273	388537	2447500
274	389821	2445244
275	391190	2443524
276	392599	2442056
277	393816	2439392
278	395099	2437155
279	396415	2435120
280	397658	2432653
281	398931	2430367
282	400326	2428836
283	401482	2425857
284	402761	2423636
285	404096	2421754
286	405474	2420129
287	406830	2418382
288	408100	2416126
289	409497	2414625
290	410867	2412966
291	412080	2410387
292	413334	2408062
293	414665	2406189
294	416024	2404480
295	417381	2402762
296	418700	2400828
297	420079	2399245
298	421317	2396860
299	422626	2394883
300	423813	2392220
301	425085	2390049
302	426411	2388184
303	427707	2386159
304	428967	2383936
305	430199	2381560
306	431544	2379820
307	432881	2378036
308	434264	2376510
309	435575	2374587
310	436891	2372697
311	438203	2370795
312	439462	2368605
313	440754	2366599
314	442150	2365155
315	443367	2362757
316	444759	2361293
317	446090	2359512
318	447395	2357593
319	448597	2355137
320	449854	2352979
321	451449	2352583
322	452693	2350359
323	453878	2347841
324	455080	2345413
325	456426	2343734
326	457798	2342193
327	459166	2340627
328	460579	2339296
329	462015	2338077
330	463289	2336042
331	464493	2333661
332	465865	2332123
333	467134	2330077
334	468534	2328686
335	469996	2327602
336	471323	2325849
337	472651	2324104
338	473952	2322226
339	475346	2320809
340	476617	2318790
341	478009	2317366
342	479421	2316040
343	480802	2314563
344	482040	2312395
345	483333	2310501
346	484596	2308465
347	485865	2306464
348	487294	2305223
349	488655	2303660
350	490025	2302141
351	491332	2300331
352	492566	2298177
353	494014	2297025
354	495303	2295139
355	496527	2292954
356	497783	2290919
357	499129	2289304
358	500409	2287388
359	501706	2285553
360	503022	2283807
361	504158	2281246
362	505495	2279604
363	506789	2277766
364	508134	2276166
365	509362	2274039
366	510669	2272269
367	512141	2271237
368	513332	2268959
369	514637	2267188
370	515926	2265347
371	517299	2263880
372	518623	2262199
373	520036	2260907
374	521373	2259285
375	522724	2257725
376	524168	2256566
377	525477	2254826
378	526747	2252924
379	528057	2251193
380	529428	2249723
381	530790	2248219
382	532027	2246183
383	533284	2244237
384	534620	2242630
385	535877	2240689
386	537239	2239190
387	538559	2237521
388	539765	2235377
389	541056	2233590
390	542242	2231374
391	543520	2229542
392	544785	2227660
393	546204	2226407
394	547499	2224648
395	548963	2223577
396	550294	2221971
397	551529	2219976
398	552794	2218105
399	554063	2216253
400	555267	2214145
401	556641	2212719
402	557763	2210295
403	559029	2208444
404	560301	2206617
405	561491	2204475
406	562671	2202297
407	564025	2200806
408	565403	2199404
409	566720	2197771
410	567986	2195937
411	569474	2194966
412	570818	2193434
413	571972	2191178
414	573454	2190182
415	574768	2188540
416	576128	2187078
417	577446	2185456
418	578761	2183825
419	580135	2182414
420	581554	2181174
421	582922	2179743
422	584264	2178214
423	585516	2176355
424	586836	2174746
425	588249	2173486
426	589548	2171801
427	590859	2170166
428	592048	2168084
429	593343	2166392
430	594675	2164838
431	596142	2163778
432	597994	2164104
433	599837	2164389
434	601640	2164521
435	603429	2164595
436	605249	2164769
437	607192	2165375
438	609203	2166211
439	610910	2165953
440	612813	2166386
441	614830	2167208
442	616808	2167879
443	618537	2167669
444	620320	2167636
445	622112	2167628
446	624052	2168127
447	625980	2168574
448	627733	2168407
449	629652	2168803
450	631501	2168948
451	633412	2169297
452	635398	2169893
453	637263	2170063
454	639075	2170047
455	641017	2170461
456	643007	2171031
457	644871	2171162
458	646971	2172077
459	648802	2172077
460	650704	2172308
461	652526	2172265
462	654473	2172624
463	656177	2172173
464	657896	2171764
465	659807	2171984
466	661589	2171771
467	663519	2172035
468	665383	2172071
469	667208	2171977
470	669099	2172086
471	671024	2172298
472	672917	2172398
473	674737	2172255
474	676517	2171977
475	678416	2172071
476	680320	2172176
477	682136	2171992
478	684045	2172095
479	686027	2172421
480	687906	2172411
481	689814	2172487
482	691782	2172740
483	693679	2172766
484	695720	2173230
485	697728	2173583
486	699593	2173481
487	701424	2173266
488	703290	2173153
489	705335	2173585
490	707063	2173030
491	708860	2172685
492	710684	2172417
493	712589	2172389
494	714405	2172080
495	716241	2171827
496	718017	2171390
497	719714	2170705
498	721403	2169991
499	723271	2169814
500	725091	2169485
501	727295	2170294
502	729203	2170214
503	731050	2169944
504	732799	2169376
505	734460	2168546
506	736367	2168435
507	738327	2168472
508	740092	2167931
509	741886	2167471
510	743598	2166767
511	745602	2166905
512	747368	2166347
513	749230	2166063
514	751089	2165761
515	753092	2165871
516	754970	2165611
517	756813	2165245
518	758632	2164806
519	760400	2164218
520	762158	2163594
521	764163	2163664
522	766029	2163337
523	767966	2163204
524	769818	2162823
525	771688	2162487
526	773594	2162247
527	775420	2161779
528	777417	2161779
529	779170	2161094
530	781060	2160786
531	783009	2160635
532	785000	2160592
533	786987	2160530
534	788742	2159828
535	790683	2159628
536	792563	2159256
537	794093	2157926
538	795965	2157525
539	797794	2157000
540	799604	2156419
541	801398	2155791
542	803377	2155656
543	805210	2155120
544	807085	2154696
545	809005	2154384
546	810771	2153658
547	812577	2153032
548	814325	2152252
549	816136	2151632
550	818002	2151152
551	819850	2150621
552	821700	2150092
553	823600	2149687
554	825486	2149238
555	827372	2148787
556	829112	2147951
557	831031	2147577
558	832732	2146633
559	834506	2145873
